role,metric,count,mean,std,min,max
AllVillagers,WolfVoteShare,147,0.1229,0.2757,0.0,1.0
Guard,Brier,84,0.424,0.1164,0.1671,0.6667
Guard,ConvergenceRound,18,2.1667,0.3835,2.0,3.0
Guard,VotePrecision,81,0.1152,0.2591,0.0,1.0
Guard,WIA,84,0.1755,0.0943,0.1,0.5
Seer,Brier,84,0.2981,0.0762,0.1438,0.5442
Seer,ConvergenceRound,14,2.1429,0.3631,2.0,3.0
Seer,VotePrecision,80,0.1917,0.3675,0.0,1.0
Seer,WIA,84,0.1804,0.1025,0.1,0.5
Villager,Brier,168,0.3946,0.1081,0.2058,0.6569
Villager,ConvergenceRound,33,2.2121,0.4151,2.0,3.0
Villager,VotePrecision,144,0.0579,0.1699,0.0,1.0
Villager,WIA,168,0.1688,0.0913,0.1,0.5
Werewolf,WolfVotePrecision,166,1.0,0.0,1.0,1.0
Witch,Brier,84,0.3762,0.1049,0.25,0.5905
Witch,ConvergenceRound,18,2.0556,0.2357,2.0,3.0
Witch,VotePrecision,84,0.1131,0.2691,0.0,1.0
Witch,WIA,84,0.1562,0.0876,0.1,0.4333
