role,metric,count,mean,std,min,max
AllVillagers,WolfVoteShare,185,0.0707,0.1981,0.0,1.0
Guard,Brier,100,0.4002,0.0958,0.2121,0.6484
Guard,ConvergenceRound,16,2.0,0.0,2.0,2.0
Guard,VotePrecision,95,0.0632,0.2051,0.0,1.0
Guard,WIA,100,0.1817,0.0974,0.1,0.5
Seer,Brier,100,0.2837,0.0547,0.2104,0.5438
Seer,ConvergenceRound,8,2.125,0.3536,2.0,3.0
Seer,VotePrecision,100,0.1917,0.3763,0.0,1.0
Seer,WIA,100,0.1808,0.0934,0.1,0.4667
Villager,Brier,200,0.4019,0.1055,0.2163,0.7542
Villager,ConvergenceRound,23,2.1304,0.3444,2.0,3.0
Villager,VotePrecision,196,0.0493,0.1717,0.0,1.0
Villager,WIA,200,0.1774,0.0922,0.1,0.6
Werewolf,WolfVotePrecision,200,0.9983,0.0236,0.6667,1.0
Witch,Brier,100,0.3701,0.1131,0.2483,0.7572
Witch,ConvergenceRound,14,2.0,0.0,2.0,2.0
Witch,VotePrecision,100,0.0483,0.1777,0.0,1.0
Witch,WIA,100,0.1653,0.0916,0.1,0.45
