game_id,winner,rounds,roles,belief_total_error,belief_total_comparisons,total_villager_votes,votes_against_wolf
1,Werewolves,3,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",10.37,32,9,0
2,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",6.9125,20,5,0
3,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",9.8359,23,7,0
4,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",10.7975,28,8,0
5,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",8.8925,28,8,0
6,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",15.54,40,8,0
7,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",12.3955,32,9,0
8,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",7.330900000000001,28,8,0
9,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",9.8775,28,8,0
10,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",10.91,28,8,0
11,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",9.7575,28,8,0
12,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",10.795,28,8,0
13,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",9.975,28,8,0
14,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",7.75,28,8,0
15,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",15.6025,40,8,0
16,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",12.2529,40,8,0
17,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",13.448500000000005,35,10,3
18,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",8.735,32,9,0
19,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",9.89,28,8,0
20,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",10.552500000000002,32,9,0
21,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",9.0858,28,8,0
22,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",7.24,20,5,0
23,Werewolves,3,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",16.0505,35,8,0
24,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",6.696400000000001,28,8,1
25,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",8.7825,28,8,3
26,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",6.460000000000001,15,4,1
27,Werewolves,4,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",17.060799999999997,43,12,5
28,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",11.655,23,7,0
29,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",14.311299999999996,38,12,0
30,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",19.419500000000003,45,9,0
31,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",5.2375,15,4,0
32,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",8.004999999999999,20,5,0
33,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",8.567500000000003,28,8,0
34,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",4.842499999999999,20,5,0
35,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",7.2,28,8,3
36,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",5.4775,15,4,1
37,Werewolves,3,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",20.0,45,9,3
38,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",6.027500000000001,15,4,0
39,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",4.9264,20,5,0
40,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",9.5554,28,8,0
41,Werewolves,3,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",13.755,33,8,4
42,Werewolves,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",10.0525,28,8,0
43,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",5.7986,20,5,0
44,Werewolves,2,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",16.31,40,8,0
45,Werewolves,2,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",6.3775,20,5,0
46,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",8.8368,28,8,0
47,Werewolves,4,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf",19.5575,53,12,2
48,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Seer, Jin=Guard, Hoang=Witch, Riley=Werewolf, Meg=Werewolf",8.5904,28,8,0
49,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Guard, Jin=Witch, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",15.1586,38,12,0
50,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf",7.7650000000000015,28,8,2
51,Werewolves,2,"Nhan=Guard, Cong=Witch, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf",9.725,28,8,0
