game_id,winner,rounds,roles
001,Werewolves,4,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
002,Werewolves,3,"Nhan=Witch, Cong=Guard, Nam=Seer, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
003,Werewolves,4,"Nhan=Villager, Cong=Witch, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
004,Werewolves,2,"Nhan=Villager, Cong=Witch, Nam=Guard, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
005,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
006,Werewolves,2,"Nhan=Villager, Cong=Villager, Nam=Guard, Jin=Witch, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
007,Werewolves,2,"Nhan=Villager, Cong=Guard, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
008,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
009,Werewolves,3,"Nhan=Guard, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
010,Werewolves,3,"Nhan=Witch, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Seer, Riley=Werewolf, Meg=Werewolf"
