game_id,winner,rounds,roles
001,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Villager, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
002,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Witch, Jin=Guard, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
003,Villagers,2,"Nhan=Guard, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
004,Werewolves,3,"Nhan=Seer, Cong=Guard, Nam=Witch, Jin=Villager, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
005,Werewolves,3,"Nhan=Villager, Cong=Seer, Nam=Villager, Jin=Witch, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
006,Werewolves,3,"Nhan=Villager, Cong=Guard, Nam=Seer, Jin=Villager, Hoang=Witch, Riley=Werewolf, Meg=Werewolf"
007,Werewolves,3,"Nhan=Seer, Cong=Villager, Nam=Witch, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
008,Werewolves,2,"Nhan=Witch, Cong=Seer, Nam=Villager, Jin=Villager, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
009,Villagers,2,"Nhan=Witch, Cong=Villager, Nam=Guard, Jin=Seer, Hoang=Villager, Riley=Werewolf, Meg=Werewolf"
010,Villagers,2,"Nhan=Witch, Cong=Villager, Nam=Villager, Jin=Seer, Hoang=Guard, Riley=Werewolf, Meg=Werewolf"
